,timestamp,open,high,low,close,volume,sma_5,sma_20,sma_50,sma_200,macd,macd_signal,bb_upper_band,bb_lower_band,bb_mavg,roc,rsi,stoch,stoch_signal,stoch_rsi,awesome_osc,ultimate_osc
0,1623542400000,35553.3,39375.0,34761.7,39018.7,7947.76537761,,,,,,,,,,,,,,,,
1,1623628800000,39015.3,41029.0,38737.2,40543.0,9828.01439756,,,,,,,,,,,,,,,,
2,1623715200000,40543.1,41355.3,39525.0,40156.7,7466.72524707,,,,,,,,,,,,,,,,
3,1623801600000,40154.6,40496.1,38105.2,38347.2,7972.12325903,,,,,,,,,,,,,,,,
4,1623888000000,38356.0,39571.9,37366.3,38091.2,7793.90305612,39231.36,,,,,,,,,,,,,,,
5,1623974400000,38094.7,38194.5,35117.3,35823.0,7211.36151168,38592.219999999994,,,,,,,,,,,,,,,
6,1624060800000,35822.9,36492.7,34811.0,35478.5,5600.90553303,37579.31999999999,,,,,,,,,,,,,,,
7,1624147200000,35479.6,36191.3,33335.0,35600.5,7100.3775531,36668.08,,,,,,,,,,,,,,,
8,1624233600000,35603.2,35742.5,31251.6,31614.1,13620.6485917,35321.46000000001,,,,,,,,,,,,,,,
9,1624320000000,31614.0,33290.2,28801.8,32505.1,14492.17412516,34204.240000000005,,,,,,,,,,,,,,,
10,1624406400000,32505.0,34839.8,31709.0,33675.0,9779.35209084,33774.64,,,,,,,,,,,,,,,
11,1624492800000,33676.1,35301.4,32306.2,34657.9,6292.05133514,33610.520000000004,,,,,,,,,,,,,,,
12,1624579200000,34658.0,35499.9,31276.1,31588.1,8644.09514911,32808.04,,,,,,,,,-19.04368930794721,,,,,,
13,1624665600000,31588.1,32720.9,30153.0,32283.7,8232.10619727,32941.96,,,,,,,,,-20.37170411661692,31.86314380151053,27.736487832078705,,,,
14,1624752000000,32283.7,34752.4,32001.2,34704.4,6201.73835382,33381.82000000001,,,,,,,,,-13.57755990905626,43.963141308616635,47.01955629904011,,,,
15,1624838400000,34703.8,35291.5,33857.4,34490.7,6438.36854468,33544.96000000001,,,,,,,,,-10.056796845662786,43.233231626847086,45.317242203369545,40.024428778162786,,,
16,1624924800000,34490.8,36595.2,34234.4,35908.9,6179.9829238,33795.159999999996,,,,,,,,,-5.72914478934766,49.25459421200272,60.77405231608564,51.03695027283177,,,
17,1625011200000,35906.6,36099.6,34022.7,35045.4,5743.848897,34486.62000000001,,,,,,,,,-2.170672472992208,46.0516088093911,57.97160657746912,54.687633698974764,,,
18,1625097600000,35045.4,35056.5,32711.0,33500.1,5862.19733593,34729.9,,,,,,,,,-5.576334963428559,40.92288194582349,50.02076080360279,56.255473232385846,,,
19,1625184000000,33500.0,33988.2,32700.8,33791.4,4815.31796337,34547.3,35341.18,,,,,40568.61960714995,30113.74039285005,35341.18,-5.081670201261214,42.229013469189795,64.02340441912392,57.33859060006528,,,
20,1625270400000,33791.5,34942.6,33324.0,34675.2,3265.35647557,34584.2,35124.005000000005,,,,,40075.907677345356,30172.102322654657,35124.005000000005,9.682704869029953,46.12111704640945,75.36376934329047,63.1359781886724,,,
21,1625356800000,34675.2,35966.8,34349.9,35273.7,2936.64620448,34457.159999999996,34860.54,,,,,39147.15466166485,30573.925338335153,34860.54,8.517432649030455,48.644351820427055,83.04334436831164,74.14350604357534,,,
22,1625443200000,35279.8,35283.7,33130.7,33683.7,4075.2545818,34184.81999999999,34536.89,,,,,38089.803775424334,30983.976224575665,34536.89,0.025835189309568195,42.89681480342468,62.641465855724064,73.68285985577539,,,
23,1625529600000,33683.7,35100.0,33510.0,34228.5,4425.08052252,34330.5,34330.955,,,,,37424.316895721226,31237.593104278774,34330.955,-1.2389671618880584,45.2824322301728,63.26255006053835,69.64912009485802,,,
24,1625616000000,34227.1,35057.3,33777.2,33862.8,3811.98736395,34344.77999999999,34119.534999999996,,,,,36689.75667936931,31549.31332063068,34119.534999999996,7.2011295392885435,43.95497348748567,57.58591785414927,61.163311256803894,,,
25,1625702400000,33862.7,33922.7,32085.5,32875.7,4430.45908695,33984.88,33972.17,,,-902.8922460457106,,36471.81801690158,31472.521983098413,33972.17,1.8337427246567042,40.50349873487291,42.26351246468595,54.37066012645786,,,
26,1625788800000,32872.8,34100.0,32265.0,33816.4,3393.73863807,33693.42,33889.064999999995,,,-860.8101532863657,,36291.493206856554,31486.636793143436,33889.064999999995,-2.558753356923041,44.94063297795444,56.865667008164955,52.23836577566672,0.7519493123215479,,
27,1625875200000,33815.5,34260.9,33037.0,33510.0,3252.0101229,33658.68,33784.54,,,-842.4722156169519,,36058.50030959206,31510.57969040794,33784.54,-2.84337517069818,43.79496795586033,32.842838484980426,43.99067265261044,0.3761208216262034,,
28,1625961600000,33510.0,34611.3,33318.5,34263.5,2880.66303705,33665.68,33917.009999999995,,,-758.3958004558153,,35967.47844979385,31866.541550206137,33917.009999999995,-4.582150943080967,47.349635816466815,48.29589551411405,46.001467002419815,0.7823177223338105,,48.40833813622065
